username,title,country,email,gender,mobileNumber,timeZone,language,isSSO,status,organizationCode,roleName,firstName,lastName,dialCode,isoCountryCode,state,city,line1,line2,postalCode,maritalStatus,anniversaryDate,childName1,childName2,childName3,childDOB1,childDOB2,childDOB3,activationCode,isPrimaryJobRole,isPrimaryOrganization
Apr30OrganizationTarget01,mr,IN,Apr30OrganizationTarget01@nomail.com,Male,8610191195,IST,en-GB,false,Online,LjvsLv,GeneralUser,Apr3,0OrganizationTarget01,+91,IN,TN,Chennai,Of lo,Bemoa,912321,Widowed,,,,,,,,VTlH2b,true,true
Apr30OrganizationTarget02,mr,IN,Apr30OrganizationTarget02@nomail.com,Male,8610191195,IST,en-GB,false,Online,LjvsLv,GeneralUser,Apr3,0OrganizationTarget02,+91,IN,TN,Chennai,Bewar,Whopo,925215,Married,,,,,,,,2uTEya,true,true
Apr30OrganizationTarget03,mr,IN,Apr30OrganizationTarget03@nomail.com,Male,8610191195,IST,en-GB,false,Online,LjvsLv,GeneralUser,Apr3,0OrganizationTarget03,+91,IN,TN,Chennai,Gawk ,Awkwa,962335,Widowed,,,,,,,,hvWYbY,true,true
Apr30OrganizationTarget04,mr,IN,Apr30OrganizationTarget04@nomail.com,Male,8610191195,IST,en-GB,false,Online,LjvsLv,GeneralUser,Apr3,0OrganizationTarget04,+91,IN,TN,Chennai,Gradi,Yahoo,909661,Widowed,,,,,,,,S5VnEI,true,true
Apr30OrganizationTarget05,mr,IN,Apr30OrganizationTarget05@nomail.com,Male,8610191195,IST,en-GB,false,Online,LjvsLv,GeneralUser,Apr3,0OrganizationTarget05,+91,IN,TN,Chennai,Into ,Or fr,979388,Married,,,,,,,,SoAdMp,true,true
Apr30OrganizationTarget06,mr,IN,Apr30OrganizationTarget06@nomail.com,Male,8610191195,IST,en-GB,false,Online,LjvsLv,GeneralUser,Apr3,0OrganizationTarget06,+91,IN,TN,Chennai,Upon ,Voice,977328,Single,,,,,,,,41FpaZ,true,true
Apr30OrganizationTarget07,mr,IN,Apr30OrganizationTarget07@nomail.com,Male,8610191195,IST,en-GB,false,Online,LjvsLv,GeneralUser,Apr3,0OrganizationTarget07,+91,IN,TN,Chennai,Almos,Inhib,912181,Widowed,,,,,,,,MljsWn,true,true
Apr30OrganizationTarget08,mr,IN,Apr30OrganizationTarget08@nomail.com,Male,8610191195,IST,en-GB,false,Online,LjvsLv,GeneralUser,Apr3,0OrganizationTarget08,+91,IN,TN,Chennai,Why n,Male ,993220,Widowed,,,,,,,,X6N24x,true,true
Apr30OrganizationTarget09,mr,IN,Apr30OrganizationTarget09@nomail.com,Male,8610191195,IST,en-GB,false,Online,LjvsLv,GeneralUser,Apr3,0OrganizationTarget09,+91,IN,TN,Chennai,Till ,Onto ,938749,Married,,,,,,,,H5f22Y,true,true
Apr30OrganizationTarget10,mr,IN,Apr30OrganizationTarget10@nomail.com,Male,8610191195,IST,en-GB,false,Online,LjvsLv,GeneralUser,Apr3,0OrganizationTarget10,+91,IN,TN,Chennai,Simil,Ouch ,936115,Single,,,,,,,,Jq5KDg,true,true
