username,title,country,email,gender,mobileNumber,timeZone,language,isSSO,status,organizationCode,roleName,firstName,lastName,dialCode,isoCountryCode,state,city,line1,line2,postalCode,maritalStatus,anniversaryDate,childName1,childName2,childName3,childDOB1,childDOB2,childDOB3,activationCode,isPrimaryJobRole,isPrimaryOrganization
Apr30TestPromotion01,mr,IN,Apr30TestPromotion01@nomail.com,Male,8610191195,IST,en-GB,false,Online,LjvsLv,GeneralUser,Apr3,0TestPromotion01,+91,IN,TN,Chennai,Wheth,Forev,979163,Single,,,,,,,,eGGvAk,true,true
Apr30TestPromotion02,mr,IN,Apr30TestPromotion02@nomail.com,Male,8610191195,IST,en-GB,false,Online,LjvsLv,GeneralUser,Apr3,0TestPromotion02,+91,IN,TN,Chennai,Behin,Soupy,939772,Divorced,,,,,,,,YeAlr9,true,true
Apr30TestPromotion03,mr,IN,Apr30TestPromotion03@nomail.com,Male,8610191195,IST,en-GB,false,Online,LjvsLv,GeneralUser,Apr3,0TestPromotion03,+91,IN,TN,Chennai,Yawni,Lavis,938396,Single,,,,,,,,0Jj3DJ,true,true
Apr30TestPromotion04,mr,IN,Apr30TestPromotion04@nomail.com,Male,8610191195,IST,en-GB,false,Online,LjvsLv,GeneralUser,Apr3,0TestPromotion04,+91,IN,TN,Chennai,Gripp,Disin,970323,Divorced,,,,,,,,HHxeNA,true,true
Apr30TestPromotion05,mr,IN,Apr30TestPromotion05@nomail.com,Male,8610191195,IST,en-GB,false,Online,LjvsLv,GeneralUser,Apr3,0TestPromotion05,+91,IN,TN,Chennai,Forbu,Fruit,955093,Married,,,,,,,,I6yXCU,true,true
Apr30TestPromotion06,mr,IN,Apr30TestPromotion06@nomail.com,Male,8610191195,IST,en-GB,false,Online,LjvsLv,GeneralUser,Apr3,0TestPromotion06,+91,IN,TN,Chennai,Aspss,Chart,903653,Divorced,,,,,,,,Itkre1,true,true
Apr30TestPromotion07,mr,IN,Apr30TestPromotion07@nomail.com,Male,8610191195,IST,en-GB,false,Online,LjvsLv,GeneralUser,Apr3,0TestPromotion07,+91,IN,TN,Chennai,Atop ,Submi,906637,Divorced,,,,,,,,YxUQCF,true,true
Apr30TestPromotion08,mr,IN,Apr30TestPromotion08@nomail.com,Male,8610191195,IST,en-GB,false,Online,LjvsLv,GeneralUser,Apr3,0TestPromotion08,+91,IN,TN,Chennai,Aha m,Gee a,926351,Single,,,,,,,,TGnOsp,true,true
Apr30TestPromotion09,mr,IN,Apr30TestPromotion09@nomail.com,Male,8610191195,IST,en-GB,false,Online,LjvsLv,GeneralUser,Apr3,0TestPromotion09,+91,IN,TN,Chennai,Crump,Once ,929930,Single,,,,,,,,276Cew,true,true
Apr30TestPromotion10,mr,IN,Apr30TestPromotion10@nomail.com,Male,8610191195,IST,en-GB,false,Online,LjvsLv,GeneralUser,Apr3,0TestPromotion10,+91,IN,TN,Chennai,Barbe,Whene,938990,Single,,,,,,,,rkZhw3,true,true
