username,title,country,email,gender,mobileNumber,timeZone,language,isSSO,status,organizationCode,roleName,firstName,lastName,dialCode,isoCountryCode,state,city,line1,line2,postalCode,maritalStatus,anniversaryDate,childName1,childName2,childName3,childDOB1,childDOB2,childDOB3,activationCode,isPrimaryJobRole,isPrimaryOrganization
Apr30UserTarget01,mr,IN,Apr30UserTarget01@nomail.com,Male,8610191195,IST,en-GB,false,Online,LjvsLv,GeneralUser,Apr3,0UserTarget01,+91,IN,TN,Chennai,Nextp,Brr d,920875,Widowed,,,,,,,,zUm8Ms,true,true
Apr30UserTarget02,mr,IN,Apr30UserTarget02@nomail.com,Male,8610191195,IST,en-GB,false,Online,LjvsLv,GeneralUser,Apr3,0UserTarget02,+91,IN,TN,Chennai,Oof h,Nor t,967548,Married,,,,,,,,3ZK2tx,true,true
Apr30UserTarget03,mr,IN,Apr30UserTarget03@nomail.com,Male,8610191195,IST,en-GB,false,Online,LjvsLv,GeneralUser,Apr3,0UserTarget03,+91,IN,TN,Chennai,Pishc,Whose,909944,Married,,,,,,,,uis3S4,true,true
Apr30UserTarget04,mr,IN,Apr30UserTarget04@nomail.com,Male,8610191195,IST,en-GB,false,Online,LjvsLv,GeneralUser,Apr3,0UserTarget04,+91,IN,TN,Chennai,Rise ,Occup,932646,Widowed,,,,,,,,u2Xd2X,true,true
Apr30UserTarget05,mr,IN,Apr30UserTarget05@nomail.com,Male,8610191195,IST,en-GB,false,Online,LjvsLv,GeneralUser,Apr3,0UserTarget05,+91,IN,TN,Chennai,Into ,Caper,929929,Divorced,,,,,,,,oXGWHG,true,true
Apr30UserTarget06,mr,IN,Apr30UserTarget06@nomail.com,Male,8610191195,IST,en-GB,false,Online,LjvsLv,GeneralUser,Apr3,0UserTarget06,+91,IN,TN,Chennai,Fixed,Cultu,922432,Widowed,,,,,,,,EKYLJY,true,true
Apr30UserTarget07,mr,IN,Apr30UserTarget07@nomail.com,Male,8610191195,IST,en-GB,false,Online,LjvsLv,GeneralUser,Apr3,0UserTarget07,+91,IN,TN,Chennai,Doom ,Echoi,985563,Married,,,,,,,,1WqRjL,true,true
Apr30UserTarget08,mr,IN,Apr30UserTarget08@nomail.com,Male,8610191195,IST,en-GB,false,Online,LjvsLv,GeneralUser,Apr3,0UserTarget08,+91,IN,TN,Chennai,Likew,Azimu,901508,Married,,,,,,,,LTKNFc,true,true
Apr30UserTarget09,mr,IN,Apr30UserTarget09@nomail.com,Male,8610191195,IST,en-GB,false,Online,LjvsLv,GeneralUser,Apr3,0UserTarget09,+91,IN,TN,Chennai,Majes,Schem,987951,Single,,,,,,,,aM3vKl,true,true
Apr30UserTarget10,mr,IN,Apr30UserTarget10@nomail.com,Male,8610191195,IST,en-GB,false,Online,LjvsLv,GeneralUser,Apr3,0UserTarget10,+91,IN,TN,Chennai,Who s,Usual,960704,Married,,,,,,,,kRPA6g,true,true
